theorem whose secondary operator is add and whose secondary operator is successor	(call edu.stanford.nlp.sempre.overnight.SimpleWorld.listValue (call edu.stanford.nlp.sempre.overnight.SimpleWorld.filter (call edu.stanford.nlp.sempre.overnight.SimpleWorld.filter (call edu.stanford.nlp.sempre.overnight.SimpleWorld.getProperty (call edu.stanford.nlp.sempre.overnight.SimpleWorld.singleton en.theorem) (string !type)) (string theorem_sec_operator) (string =) en.operator.add) (string theorem_sec_operator) (string =) en.operator.suc))
theorem whose secondary operator is add and whose domain is the reals	(call edu.stanford.nlp.sempre.overnight.SimpleWorld.listValue (call edu.stanford.nlp.sempre.overnight.SimpleWorld.filter (call edu.stanford.nlp.sempre.overnight.SimpleWorld.filter (call edu.stanford.nlp.sempre.overnight.SimpleWorld.getProperty (call edu.stanford.nlp.sempre.overnight.SimpleWorld.singleton en.theorem) (string !type)) (string theorem_sec_operator) (string =) en.operator.add) (string theorem_domain) (string =) en.domain.real))
theorem whose domain is numbers and whose secondary operator is successor	(call edu.stanford.nlp.sempre.overnight.SimpleWorld.listValue (call edu.stanford.nlp.sempre.overnight.SimpleWorld.filter (call edu.stanford.nlp.sempre.overnight.SimpleWorld.filter (call edu.stanford.nlp.sempre.overnight.SimpleWorld.getProperty (call edu.stanford.nlp.sempre.overnight.SimpleWorld.singleton en.theorem) (string !type)) (string theorem_domain) (string =) en.domain.num) (string theorem_sec_operator) (string =) en.operator.suc))
theorem whose secondary operator is cast and whose secondary operator is successor	(call edu.stanford.nlp.sempre.overnight.SimpleWorld.listValue (call edu.stanford.nlp.sempre.overnight.SimpleWorld.filter (call edu.stanford.nlp.sempre.overnight.SimpleWorld.filter (call edu.stanford.nlp.sempre.overnight.SimpleWorld.getProperty (call edu.stanford.nlp.sempre.overnight.SimpleWorld.singleton en.theorem) (string !type)) (string theorem_sec_operator) (string =) en.operator.&) (string theorem_sec_operator) (string =) en.operator.suc))
theorem whose domain is numbers and whose domain is the reals	(call edu.stanford.nlp.sempre.overnight.SimpleWorld.listValue (call edu.stanford.nlp.sempre.overnight.SimpleWorld.filter (call edu.stanford.nlp.sempre.overnight.SimpleWorld.filter (call edu.stanford.nlp.sempre.overnight.SimpleWorld.getProperty (call edu.stanford.nlp.sempre.overnight.SimpleWorld.singleton en.theorem) (string !type)) (string theorem_domain) (string =) en.domain.num) (string theorem_domain) (string =) en.domain.real))
theorem whose domain is numbers and whose secondary operator is square	(call edu.stanford.nlp.sempre.overnight.SimpleWorld.listValue (call edu.stanford.nlp.sempre.overnight.SimpleWorld.filter (call edu.stanford.nlp.sempre.overnight.SimpleWorld.filter (call edu.stanford.nlp.sempre.overnight.SimpleWorld.getProperty (call edu.stanford.nlp.sempre.overnight.SimpleWorld.singleton en.theorem) (string !type)) (string theorem_domain) (string =) en.domain.num) (string theorem_sec_operator) (string =) en.operator.square))
theorem whose domain is numbers and whose domain is numbers	(call edu.stanford.nlp.sempre.overnight.SimpleWorld.listValue (call edu.stanford.nlp.sempre.overnight.SimpleWorld.filter (call edu.stanford.nlp.sempre.overnight.SimpleWorld.filter (call edu.stanford.nlp.sempre.overnight.SimpleWorld.getProperty (call edu.stanford.nlp.sempre.overnight.SimpleWorld.singleton en.theorem) (string !type)) (string theorem_domain) (string =) en.domain.num) (string theorem_domain) (string =) en.domain.num))
theorem whose secondary operator is square and whose secondary operator is successor	(call edu.stanford.nlp.sempre.overnight.SimpleWorld.listValue (call edu.stanford.nlp.sempre.overnight.SimpleWorld.filter (call edu.stanford.nlp.sempre.overnight.SimpleWorld.filter (call edu.stanford.nlp.sempre.overnight.SimpleWorld.getProperty (call edu.stanford.nlp.sempre.overnight.SimpleWorld.singleton en.theorem) (string !type)) (string theorem_sec_operator) (string =) en.operator.square) (string theorem_sec_operator) (string =) en.operator.suc))
theorem whose domain is numbers and whose secondary operator is divide	(call edu.stanford.nlp.sempre.overnight.SimpleWorld.listValue (call edu.stanford.nlp.sempre.overnight.SimpleWorld.filter (call edu.stanford.nlp.sempre.overnight.SimpleWorld.filter (call edu.stanford.nlp.sempre.overnight.SimpleWorld.getProperty (call edu.stanford.nlp.sempre.overnight.SimpleWorld.singleton en.theorem) (string !type)) (string theorem_domain) (string =) en.domain.num) (string theorem_sec_operator) (string =) en.operator.divide))
theorem whose main operator is cast and whose secondary operator is successor	(call edu.stanford.nlp.sempre.overnight.SimpleWorld.listValue (call edu.stanford.nlp.sempre.overnight.SimpleWorld.filter (call edu.stanford.nlp.sempre.overnight.SimpleWorld.filter (call edu.stanford.nlp.sempre.overnight.SimpleWorld.getProperty (call edu.stanford.nlp.sempre.overnight.SimpleWorld.singleton en.theorem) (string !type)) (string theorem_main_operator) (string =) en.operator.&) (string theorem_sec_operator) (string =) en.operator.suc))
